site,plot,date_observed,genus,species,id,observer,date_entered,data_entry,dist_from_collar,comments
East Woods,HH115,7/17/2017,Quercus,alba,1411,Duckett,7/17/2017,Duckett,0,
East Woods,HH115,7/31/2017,Quercus,alba,1411,Duckett,7/31/2017,Duckett,0,
East Woods,HH115,8/14/2017,Quercus,alba,1411,Duckett,8/14/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,8/30/2017,Quercus,alba,1411,Duckett,8/30/2017,Duckett,0,
East Woods,HH115,9/11/2017,Quercus,alba,1411,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1411,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Quercus,alba,1411,Godlewski,6/22/2018,Godlewski,1.1,
East Woods,HH115,6/7/2018,Quercus,alba,1411,Godlewski,6/22/2018,Godlewski,1.4,
East Woods,HH115,6/22/2018,Quercus,alba,1411,Godlewski,7/19/2018,Zumwalde,3.4,
East Woods,HH115,7/2/2018,Quercus,alba,1411,Koropp/ Butkiewicz,7/2/2018,Koropp,3.8,
East Woods,HH115,7/19/2018,Quercus,alba,1411,Zumwalde,7/20/2018,Zumwalde,3.5,
East Woods,HH115,7/27/2018,Quercus,alba,1411,Butkiewicz,7/27/2018,Zumwalde,3.8,
East Woods,HH115,8/10/2018,Quercus,alba,1411,Zumwalde,8/10/2018,Zumwalde,4.7,
East Woods,HH115,8/31/2018,Quercus,alba,1411,Zumwalde,8/31/2018,Zumwalde,5,
East Woods,HH115,9/26/2018,Quercus,alba,1411,Ye,9/28/2018,Zumwalde,4.4,
East Woods,HH115,10/17/2018,Quercus,alba,1411,Zumwalde,10/23/2018,Zumwalde,5.4,
East Woods,HH115,10/31/2018,Quercus,alba,1411,Zumwalde,11/28/2018,Zumwalde,4.8,
East Woods,HH115,3/27/2019,Quercus,alba,1411,Zumwalde,3/27/2019,Zumwalde,0,
East Woods,HH115,5/3/2019,Quercus,alba,1411,Zumwalde,5/3/2019,Zumwalde,0,
East Woods,HH115,5/23/2019,Quercus,alba,1411,Zumwalde,5/23/2019,Zumwalde,0,
East Woods,HH115,7/17/2017,Quercus,alba,1427,Duckett,7/17/2017,Duckett,0,
East Woods,HH115,7/31/2017,Quercus,alba,1427,Duckett,7/31/2017,Duckett,0,
East Woods,HH115,8/14/2017,Quercus,alba,1427,Duckett,8/14/2017,Duckett,0,
East Woods,HH115,8/30/2017,Quercus,alba,1427,Duckett,8/30/2017,Duckett,0,
East Woods,HH115,9/11/2017,Quercus,alba,1427,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1427,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,5/23/2018,Quercus,alba,1427,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/7/2018,Quercus,alba,1427,Godlewski,6/22/2018,Godlewski,0,
East Woods,HH115,6/22/2018,Quercus,alba,1427,Godlewski,7/19/2018,Zumwalde,0,
East Woods,HH115,7/2/2018,Quercus,alba,1427,Koropp/ Butkiewicz,7/2/2018,Koropp,0,
East Woods,HH115,7/19/2018,Quercus,alba,1427,Zumwalde,7/20/2018,Zumwalde,0,
East Woods,HH115,7/27/2018,Quercus,alba,1427,Butkiewicz,7/27/2018,Zumwalde,999,
East Woods,HH115,8/10/2018,Quercus,alba,1427,Zumwalde,8/10/2018,Zumwalde,0,
East Woods,HH115,8/31/2018,Quercus,alba,1427,Zumwalde,8/31/2018,Zumwalde,1.2,
East Woods,HH115,9/26/2018,Quercus,alba,1427,Ye,9/28/2018,Zumwalde,0.7,
East Woods,HH115,10/17/2018,Quercus,alba,1427,Zumwalde,10/23/2018,Zumwalde,1,
East Woods,HH115,10/31/2018,Quercus,alba,1427,Zumwalde,11/28/2018,Zumwalde,1.3,
East Woods,HH115,3/27/2019,Quercus,alba,1427,Zumwalde,3/27/2019,Zumwalde,1,
East Woods,HH115,5/3/2019,Quercus,alba,1427,Zumwalde,5/3/2019,Zumwalde,1.2,
East Woods,HH115,5/23/2019,Quercus,alba,1427,Zumwalde,5/23/2019,Zumwalde,0.9,
East Woods,HH115,7/17/2017,Quercus,alba,1433,Duckett,7/17/2017,Duckett,0,
East Woods,HH115,7/31/2017,Quercus,alba,1433,Duckett,7/31/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,8/14/2017,Quercus,alba,1433,Duckett,8/14/2017,Duckett,0,
East Woods,HH115,8/30/2017,Quercus,alba,1433,Duckett,8/30/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,9/11/2017,Quercus,alba,1433,Duckett,9/11/2017,Duckett,0,
East Woods,HH115,5/8/2018,Quercus,alba,1433,Godlewski,6/22/2018,Godlewski,0.8,
East Woods,HH115,5/23/2018,Quercus,alba,1433,Godlewski,6/22/2018,Godlewski,2.9,
East Woods,HH115,6/7/2018,Quercus,alba,1433,Godlewski,6/22/2018,Godlewski,3.1,
East Woods,HH115,6/22/2018,Quercus,alba,1433,Godlewski,7/19/2018,Zumwalde,6.3,
East Woods,HH115,7/2/2018,Quercus,alba,1433,Koropp/ Butkiewicz,7/2/2018,Koropp,6,
East Woods,HH115,7/19/2018,Quercus,alba,1433,Zumwalde,7/20/2018,Zumwalde,7.2,
East Woods,HH115,7/27/2018,Quercus,alba,1433,Butkiewicz,7/27/2018,Zumwalde,7.3,
East Woods,HH115,8/10/2018,Quercus,alba,1433,Zumwalde,8/10/2018,Zumwalde,8.8,
East Woods,HH115,8/31/2018,Quercus,alba,1433,Zumwalde,8/31/2018,Zumwalde,8.7,
East Woods,HH115,9/26/2018,Quercus,alba,1433,Ye,9/28/2018,Zumwalde,8.9,
East Woods,HH115,10/17/2018,Quercus,alba,1433,Zumwalde,10/23/2018,Zumwalde,9.2,
East Woods,HH115,10/31/2018,Quercus,alba,1433,Zumwalde,11/28/2018,Zumwalde,9.8,
East Woods,HH115,3/27/2019,Quercus,alba,1433,Zumwalde,3/27/2019,Zumwalde,9.05,
East Woods,HH115,5/3/2019,Quercus,alba,1433,Zumwalde,5/3/2019,Zumwalde,11.45,
East Woods,HH115,5/23/2019,Quercus,alba,1433,Zumwalde,5/23/2019,Zumwalde,12.8,
East Woods,HH115,7/17/2017,Quercus,alba,1436,Duckett,7/17/2017,Duckett,999,Mark was under collar. Made new mark
East Woods,HH115,7/31/2017,Quercus,alba,1436,Duckett,7/31/2017,Duckett,999,Mark was under collar. Made new mark
